Country,Year,Value_co2_emissions_t_by_country,Value_co2_emissions_kt_by_country
South Korea,2000,474157940,474157.94
South Korea,2001,482492530,482492.53
South Korea,2002,491270970,491270.97
South Korea,2003,495496770,495496.77
South Korea,2004,515702500,515702.5
South Korea,2005,515395540,515395.54
South Korea,2006,521878310,521878.31
South Korea,2007,532960080,532960.08
South Korea,2008,543224350,543224.35
South Korea,2009,551282200,551282.2
South Korea,2010,597764480,597764.48
South Korea,2011,628472940,628472.94
South Korea,2012,631645850,631645.85
South Korea,2013,628905240,628905.24
South Korea,2014,623685500,623685.5
South Korea,2015,642889350,642889.35
South Korea,2016,660089950,660089.95
South Korea,2017,668139610,668139.61
South Korea,2018,670869090,670869.09
South Korea,2019,651454310,651454.31
South Korea,2020,615270590,615270.59